Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua Everaldo Gonçalves da Silva, 279 - Aruana, Aracaju - SE",85,2,1,"
                  2
                ","
                            R$ 230.000
                    "
"Rua D, 1 - Mosqueiro, Aracaju - SE",157,3,1,"
                  5
                ","
                            R$ 320.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",180,3,1,"
                  2
                ","
                            R$ 660.116
                    "
"Rua Campo do Brito, 1000 - São José, Aracaju - SE",400,3,5,"
                  4
                ","
                            R$ 750.000
                    "
"Rua Accioly Porto - Jabotiana, Aracaju - SE",300,3,2,"
                  4
                ","
                            R$ 780.151
                    "
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",125,3,3,"
                  2
                ","
                            R$ 540.134
                    "
"Rua Nossa Senhora da Glória, 467 - Cidade Nova, Aracaju - SE",112,3,2,"
                  2
                ","
                            R$ 155.000
                    "
"Rua Poeta Manuel Bandeira, 1 - Atalaia, Aracaju - SE",125,3,3,"
                  1
                ","
                            R$ 450.000
                    "
"Rua Pedro Alcântara Braz, 17 - Aruana, Aracaju - SE",220,3,1,"
                  4
                ","
                            R$ 260.000
                    "
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
                            R$ 350.008
                    "
"Rua Arnaldo Pereira de Souza, 2 - Ponto Novo, Aracaju - SE",8000,2,1,"
                  1
                ","
                            R$ 230.000
                    "
"Rua Amazonas, 00 - Siqueira Campos, Aracaju - SE",165,5,3,"
                  1
                ","
                            R$ 250.000
                    "
"Rua General Valença, 293 - Cidade Nova, Aracaju - SE",10,3,2,"
                  --
                ","
                            R$ 140.000
                    "
"Avenida Augusto Franco, 2000 - Siqueira Campos, Aracaju - SE",170,3,2,"
                  2
                ","
                            R$ 695.000
                    "
"Rua Fenelon Santos, 386 - Salgado Filho, Aracaju - SE",420,6,5,"
                  4
                ","
                            R$ 1.390.000
                    "
"Rua Doutor Yolando Vieira de Melo, 248 - Atalaia, Aracaju - SE",227,3,2,"
                  2
                ","
                            R$ 450.000
                    "
